1.0	100813	85132	71903	58639	48498	39926	31827	25599	20101	15470	11953	8839	6642	4739	3318	
0.1	9980	8568	7206	5926	4857	4083	3115	2535	1997	1575	1175	842	678	482	319	
0.05	4872	4192	3605	2927	2421	2097	1605	1278	1002	783	647	433	373	274	159	
0.02	1864	1652	1443	1149	963	881	641	521	405	340	264	192	162	121	67	
0.01	958	805	696	560	474	434	338	256	220	181	145	98	81	54	30	
0.005	483	384	351	261	246	213	177	131	117	99	84	47	35	21	16	
0.002	195	162	128	103	110	78	61	64	50	36	37	19	10	8	4	
0.001	104	89	67	43	50	36	21	38	26	15	20	11	3	4	3	
0.0005	57	39	30	26	33	15	12	12	17	5	8	5	3	2	1	
0.0002	22	22	10	8	10	5	5	5	6	2	7	3	0	0	0	
0.0001	13	10	5	4	4	2	2	2	1	1	3	3	0	0	0	
