1.0	100819	85155	71931	58692	48570	40027	32008	25811	20195	15494	11955	8839	6644	4739	3318	
0.1	9979	8364	7178	5797	4813	4152	3258	2666	2074	1557	1190	890	664	495	341	
0.05	4932	4155	3581	2827	2434	2033	1698	1377	1055	801	575	468	352	241	178	
0.02	1944	1694	1373	1130	969	816	711	551	427	324	222	215	142	90	72	
0.01	991	869	653	540	497	402	356	279	215	165	103	107	79	41	43	
0.005	520	423	307	279	256	199	164	131	103	99	51	49	41	24	24	
0.002	218	155	120	105	93	76	75	52	55	38	18	23	20	9	8	
0.001	120	66	68	52	35	37	32	27	24	22	7	11	14	7	8	
0.0005	62	37	35	24	15	18	15	11	13	12	2	5	10	4	2	
0.0002	26	13	11	8	4	9	9	4	8	4	2	3	3	1	0	
0.0001	9	7	7	2	2	6	5	2	3	3	1	1	2	0	0	
